id,month,bank_name,no_of_transactions,amt_of_transactions,no_of_active_costumers
17903,01-08-2021,Swatantrya Senani Late Shripal Alase Kaka Kurundwad Urban Co-operative Bank Kurundwad,100,7,
17904,01-08-2021,Tamil Nadu State Apex Co-operative Bank,2552,200.16,
17905,01-08-2021,Telangana Grameena Bank,57225,6920.62,
17906,01-08-2021,Thane Bharat Co-operative Bank,17565,1637.77,
17907,01-08-2021,Adarsh Co-operative Urban Bank,11027,3421.38,
17908,01-08-2021,Ahmedabad District Co-operative Bank,701814,21238.18,
17909,01-08-2021,Akola Janata Commercial Co-operative Bank,19248,5615.49,
17910,01-08-2021,Anand Mercantile Co-operative Bank,4161,944.93,
17911,01-08-2021,Bapunagar Mahila Co-operative Bank,26,2.29,
17912,01-08-2021,Baroda Central Co-operative Bank,163514,7025.29,
17913,01-08-2021,Bavla Nagrik Co-operative Bank,1035,960.47,
17914,01-08-2021,Bhiwani Central Co-operative Bank,1169,394.62,
17915,01-08-2021,Bicholim Urban Co-operative Bank,3921,931.11,
17916,01-08-2021,Business Co-operative Bank Maryadit,5272,595.9,
17917,01-08-2021,Calicut Co-operative Urban Bank,590,20.75,
17918,01-08-2021,Commercial Co-operative Bank - Jamnagar,4975,2899.65,
17919,01-08-2021,Cosmos Co-operative Bank,2375881,69689.66,
17920,01-08-2021,Dahod Urban Co-operative Bank,4803,4341.31,
17921,01-08-2021,Eenadu Co-operative Urban Bank,1386,300.88,
17922,01-08-2021,Gandhidham Co-operative Bank,1233,879.22,
17923,01-08-2021,Jain Co-operative Bank,1040,141.04,
17924,01-08-2021,Jampeta Co-operative Urban Bank,445,78.99,
17925,01-08-2021,Jhajjar Central Co-operative Bank,144,33.8,
17926,01-08-2021,Kalupur Commercial Co-operative Bank,541250,47582.62,
17927,01-08-2021,Kalyan Janata Co-operative Bank,864106,16068.36,
17928,01-08-2021,Karnavati Co-operative Bank,12247,9116.61,
17929,01-08-2021,Kodungallur Town Co-operative Bank,3,0.4,
17930,01-08-2021,Kolar and Chikballapura District Central Co-operative Bank Kolar,388,54.87,
17931,01-08-2021,Kranthi Co-operative Urban Bank,847,121.5,
17932,01-08-2021,Kukarwada Nagarik Co-operative Bank,5681,6130.92,
17933,01-08-2021,Kumbakonam Central Co-operative Bank,129,3.97,
17934,01-08-2021,Maharaja Co-operative Urban Bank,940,577.28,
17935,01-08-2021,Malviya Urban Co-operative Bank,54,6.66,
17936,01-08-2021,Mandvi Nagrik Co-operative Bank,337,44.03,
17937,01-08-2021,Mangalore Co-operative Town Bank,356,70.27,
17938,01-08-2021,Mattancherry Sarvajanik Co-operative Bank,636,32.59,
17939,01-08-2021,Modasa Nagarik Co-operative Bank,1751,1229.19,
17940,01-08-2021,Muslim Co-operative Bank,20082,2366.58,
17941,01-08-2021,Mysore and Chamarajanagar District Co-operative Central Bank Mysuru,971,165.84,
17942,01-08-2021,Naroda Nagrik Co-operative Bank,4870,4858.06,
17943,01-08-2021,Navnirman Co-operative Bank,14883,11006.66,
17944,01-08-2021,Nawanagar Co-operative Bank,18725,14999.74,
17945,01-08-2021,The Nilgiris District Central Co-operative Bank Ltd,31,6.25,
17946,01-08-2021,Ottapalam Co-operative Urban Bank,3370,473.38,
17947,01-08-2021,Panipat Central Co-operative Bank,353,194.68,
17948,01-08-2021,Pimpalgaon Merchant Co-operative Bank,1474,258.29,
17949,01-08-2021,Pratap Co-operative Bank,1507,149.87,
17950,01-08-2021,Salem District Central Co-operative Bank,568,24,
17951,01-08-2021,Sangamner Merchants Co-operative Bank,4396,1276.45,
17952,01-08-2021,Sankheda Nagrik Co-operative Bank,169,75.08,
17953,01-08-2021,Sarangpur Co-operative Bank,899,1498.77,
17954,01-08-2021,Shillong Co-operative Urban Bank,1091,157.58,
17955,01-08-2021,Sultans Battery Co-operative Urban Bank,1176,72.19,
17956,01-08-2021,Tamil Nadu Industrial Co-operative Bank,486,20.79,
17957,01-08-2021,Texco Co-operative Bank Surat,1806,400.47,
17958,01-08-2021,Thrissur District Co-operative Bank,10997,2060.13,
17959,01-08-2021,Udaipur Mahila Samridhi Urban Co-operative Bank,12286,863.5,
17960,01-08-2021,Udaipur Mahila Samridhi Urban Co-operative Bank,24254,1232.1,
17961,01-08-2021,Union Co-operative Bank,3644,1930.93,
17962,01-08-2021,Varachha Co-operative Bank,70195,33867.64,
17963,01-08-2021,Virudhunagar District Central Co-operative Bank,100,4.21,
17964,01-08-2021,The New Urban Co-operative Bank Rampur,5677,1936.84,
17965,01-08-2021,Tirunelveli District Central Co-operative Bank,184,7.64,
17966,01-08-2021,Tirupati Urban Co-operative Bank Mydt,6189,913.23,
17967,01-08-2021,Tiruvannamalai District Central Co-operative Bank,265,13.75,
17968,01-08-2021,TJSB Co-operative Bank,3236952,59039.21,
17969,01-08-2021,Tumkur Grain Merchants Co-operative Bank,5962,2546.22,
17970,01-08-2021,Tamilnad Mercantile Bank,740014,89155.57,
17971,01-08-2021,Textile Traders Co-operative Bank,3832,3353.12,
17972,01-08-2021,Accountant Generals Office Employees Co-operative Bank,548,85.3,
17973,01-08-2021,Adinath Co-operative Bank,158,73.86,
17974,01-08-2021,Ahmedabad Mercantile Co-operative Bank,106557,43312.08,
17975,01-08-2021,Ajara Urban Co-operative Bank,2520,190.65,
17976,01-08-2021,Akola District Central Co-operative Bank,43303,62638.24,
17977,01-08-2021,Amravati Zilla Parishad Shikshak Co-operative Bank,2873,304.42,
17978,01-08-2021,Andhra Pradesh State Co-operative Bank,2131,453.04,
17979,01-08-2021,Ashta Peoples Co-operative Bank,260,11.38,
17980,01-08-2021,Babasaheb Deshmukh Co-operative Bank,11,0.65,
17981,01-08-2021,Banaskantha Mercantile Co-operative Bank,19173,13314.23,
17982,01-08-2021,Bardoli Nagrik Co-operative Bank,990,286.92,
17983,01-08-2021,Baroda City Co-operative Bank,1177,323.79,
17984,01-08-2021,Bellary District Central Co-operative Bank,4812,849.89,
17985,01-08-2021,Bhagyalakshmi Mahila Co-operative Bank,4811,3093.1,
17986,01-08-2021,Bhagyodaya Co-operative Bank,3461,2663.3,
17987,01-08-2021,Bhuj Commercial Co-operative Bank,4874,4123.11,
17988,01-08-2021,Chanasma Nagrik Co-operative Bank,496,404.13,
17989,01-08-2021,Cherpalcheri Co-operative Urban Bank,86,0.15,
17990,01-08-2021,Chikhli Urban Co-operative Bank,26048,12204.92,
17991,01-08-2021,Chittoor District Co-operative Central Bank,5,0.15,
17992,01-08-2021,Co-operative Bank of Mehasana,2275,743.54,
17993,01-08-2021,Co-operative Bank of Rajkot,8169,2316.05,
17994,01-08-2021,Coimbatore District Central Co-operative Bank,450,16.86,
17995,01-08-2021,Commercial Co-operative Bank Kolhapur,1673,152.67,
17996,01-08-2021,Cuddalore District Central Co-operative Bank,344,13.1,
17997,01-08-2021,Dahod Mercantile Co-operative Bank,2092,2021.75,
17998,01-08-2021,Davangere Harihar Urban Co-operative Bank,43,3.78,
17999,01-08-2021,Dharmapuri District Central Co-operative Bank,723,33.29,
18000,01-08-2021,District Co-operative Central Bank Srikakulam,36,0.86,
18001,01-08-2021,District Co-operative Central Bank Visakhapatnam,35,1.03,
18002,01-08-2021,District Co-operative Central Bank Eluru,11,0.36,
18003,01-08-2021,Erode District Central Co-operative Bank,1063,48.28,
18004,01-08-2021,Financial Co-operative Bank,4264,630.89,
18005,01-08-2021,Gandevi Peoples Co-operative Bank,1457,1076.93,
18006,01-08-2021,Gandhidham Mercantile Co-operative Bank,2568,917.53,
18007,01-08-2021,Gandhinagar Nagarik Co-operative Bank,1206,239.17,
18008,01-08-2021,Greater Bombay Co-operative Bank,27862,3758.51,
18009,01-08-2021,Gujarat State Co-operative Bank,159917,6704.3,
18010,01-08-2021,Guntur Co-operative Urban Bank,197,17.25,
18011,01-08-2021,Guntur District Co-operative Central Bank,33,1.51,
18012,01-08-2021,Haryana State Co-operative Apex Bank,2453,416.02,
18013,01-08-2021,Hasti Co-operative Bank,108194,7879.53,
18014,01-08-2021,Jalgaon Peoples Co-operative Bank,264508,31149.29,
18015,01-08-2021,Jamkhandi Urban Co-operative Bank,351,27.54,
18016,01-08-2021,Jammu and Kashmir Bank,18187535,1067748.18,
18017,01-08-2021,Jind Central Co-operative Bank,347,73.13,
18018,01-08-2021,Junagadh Commercial Co-operative Bank,6642,3572.68,
18019,01-08-2021,Kancheepuram Central Co-operative Bank,475,23.69,
18020,01-08-2021,Karnataka State Co-operative Apex Bank,13479,2210.9,
18021,01-08-2021,Kodagu District Central Co-operative Bank,1076,126.13,
18022,01-08-2021,Kolhapur Urban Co-operative Bank,5808,969.86,
18023,01-08-2021,Krishna District Co-operative Central Bank,41,0.91,
18024,01-08-2021,Maharashtra Mantralaya and Allied Offices Co-operative Bank,1058,113.78,
18025,01-08-2021,Maharashtra State Co-operative Bank,18989,1972.36,
18026,01-08-2021,Malad Co-operative Bank,51972,1578.96,
18027,01-08-2021,Mangalore Catholic Co-operative Bank,399,72.11,
18028,01-08-2021,Meghalaya Co-operative Apex Bank,8839,783.85,
18029,01-08-2021,Municipal Co-operative Bank Mumbai,7860,1000.3,
18030,01-08-2021,Nandura Urban Co-operative Bank,9129,3500.69,
18031,01-08-2021,Naval Dockyard Co-operative Bank,11066,920.59,
18032,01-08-2021,Nilambur Co-operative Urban Bank,15462,2958.73,
18033,01-08-2021,Panchmahal District Co-operative Bank,6279,1843.04,
18034,01-08-2021,Panchsheel Mercantile Co-operative Bank,1083,92.15,
18035,01-08-2021,Panipat Urban Co-operative Bank,17807,21479.14,
18036,01-08-2021,Pudukkottai District Central Co-operative Bank,220,8.99,
18037,01-08-2021,Punjab State Co-operative Bank,105,16.84,
18038,01-08-2021,Railway Employees Co-operative Bank Jaipur,436,924.08,
18039,01-08-2021,Rajasthan State Co-operative Bank,8,1.93,
18040,01-08-2021,Rajkot Commercial Co-operative Bank,1374,732.4,
18041,01-08-2021,Ranuj Nagrik Co-operative Bank,1028,259.74,
18042,01-08-2021,SSK Co-operative Bank,18021,462.17,
18043,01-08-2021,Sabarkantha District Central Co-operative Bank,28377,12226.32,
18044,01-08-2021,Sarvodaya Co-operative Bank Surat,10611,4749.39,
18045,01-08-2021,Satara District Central Co-operative Bank,15448,1508.92,
18046,01-08-2021,Saurashtra Co-operative Bank,3267,1135.5,
18047,01-08-2021,Shirpur Peoples Co-operative Bank,6878,750.44,
18048,01-08-2021,Sirsi Urban Co-operative Bank,1426,174.64,
18049,01-08-2021,Sonepat Central Co-operative Bank,186,49.35,
18050,01-08-2021,Surat District Co-operative Bank,11394,2599.97,
18051,01-08-2021,Surat Mercantile Co-operative Bank,3401,1252.12,
18052,01-08-2021,Sutex Co-operative Bank,36527,12263.58,
18053,01-08-2021,Thane District Central Co-operative Bank,13583,1051.42,
18054,01-08-2021,Thanjavur Central Co-operative Bank,104,4.2,
18055,01-08-2021,Thoothukudi Central Co-operative Bank,114,4.72,
18056,01-08-2021,Tiruchirapalli District Central Co-operative Bank,867,38.55,
18057,01-08-2021,Udaipur Urban Co-operative Bank,17869,3854.08,
18058,01-08-2021,Udupi Co-operative Town Bank,1512,91.89,
18059,01-08-2021,Una Peoples Co-operative Bank,1784,1043.31,
18060,01-08-2021,Urban Co-operative Bank Dharangaon,34931,562.81,
18061,01-08-2021,Vellore District Central Co-operative Bank,691,29.93,
18062,01-08-2021,Veraval Peoples Co-operative Bank,7280,5416.77,
18063,01-08-2021,Vijay Co-operative Bank,3150,386.87,
18064,01-08-2021,Vishweshwar Co-operative Bank,238396,4870.63,
18065,01-08-2021,Washim Urban Co-operative Bank,844,220.83,
18066,01-08-2021,Wayanad District Co-operative Bank,2236,702.97,
18067,01-08-2021,Tripura Gramin Bank,217021,3908.02,
18068,01-08-2021,Tripura State Co-operative Bank,237,10.33,
18069,01-08-2021,UCO Bank,34209550,743997.61,
18070,01-08-2021,Unjha Nagrik Co-operative Bank,1201,1548.52,
18071,01-08-2021,Uttarakhand Gramin Bank,48085,5571.75,
18072,01-08-2021,Ujjivan Small Finance Bank,7983404,208317.92,
18073,01-08-2021,Union Bank of India,198661516,4643055.31,
18074,01-08-2021,Utkarsh Small Finance Bank,42729,7326.2,
18075,01-08-2021,Vaishya Nagari Co-operative Bank,11606,7682.04,
18076,01-08-2021,Vaishya Co-operative Bank Mumbai,1107,99.69,
18077,01-08-2021,Valsad District Central Co-operative Bank,3441,651.93,
18078,01-08-2021,Vasai Janata Co-operative Bank,7693,1354.58,
18079,01-08-2021,Veerashaiva Co-operative Bank,1011,121.34,
18080,01-08-2021,Villupuram District Central Co-operative Bank,605,56.78,
18081,01-08-2021,Valmiki Urban Co-operative Bank Pathari,796,59.94,
18082,01-08-2021,Vardhaman Mahila Co-operative Urban Bank,454,56.9,
18083,01-08-2021,Vasai Vikas Co-operative Bank,14940,3056.55,
18084,01-08-2021,Vijay Commercial Co-operative Bank,1856,626.55,
18085,01-08-2021,Vijayapura District Central Co-operative Bank,1915,751.84,
18086,01-08-2021,Vikas Souharda Co-operative Bank,55153,3521.08,
18087,01-08-2021,Vikramaditya Nagrik Co-operative Bank,3296,0.03,
18088,01-08-2021,Woori Bank,510,266.27,
18089,01-08-2021,Wardhaman Urban Co-operative Bank,1386,281.33,
18090,01-08-2021,Yes Bank,17661786,918968.02,
18091,01-09-2021,Co-operative Bank of Rajkot,4236,1200.77,
18092,01-09-2021,Andhra Pradesh Mahesh Co-operative Urban Bank,12859,4043.31,
18093,01-09-2021,Abhinandan Urban Co-operative Bank Amravati,1657,606.96,
18094,01-09-2021,Ahmednagar Merchants Co-operative Bank,12397,3929.06,
18095,01-09-2021,Amreli Jilla Madhyasth Co-operative Bank,18960,6030.4,
18096,01-09-2021,Andhra Pradesh Grameen Vikas Bank,118912,24477.58,
18097,01-09-2021,AU Small Finance Bank,7774062,577371.9,
18098,01-09-2021,Axis Bank,567928742,13430045.15,
18099,01-09-2021,Abhinav Co-operative Bank,4016,760.44,
18100,01-09-2021,Abhyudaya Co-operative Bank,2361663,54271.27,
18101,01-09-2021,Adarsh Co-operative Urban Bank,150456,22819.16,
18102,01-09-2021,Agrasen Bank,1978,699.55,
18103,01-09-2021,Ahmednagar Shahar Co-operative Bank,2559,267.52,
18104,01-09-2021,Airtel Payments Bank,56848818,846163.66,
18105,01-09-2021,Akhand Anand Co-operative Bank Surat,9303,2574.84,
18106,01-09-2021,Ambajogai Peoples Co-operative Bank Ambajogai,2182,757.22,
18107,01-09-2021,Ambarnath Jai-Hind Co-operative Bank,10366,1941.55,
18108,01-09-2021,Amreli Nagarik Co-operative Bank,487,768.93,
18109,01-09-2021,Apna Co-operative Bank,217601,15903.93,
18110,01-09-2021,Arvind Co-operative Bank,534,82.92,
18111,01-09-2021,Assam Gramin Vikash Bank,17376.2,597.56,
18112,01-09-2021,Associate Co-operative Bank,8265,5335.7,
18113,01-09-2021,Balusseri Co-operative Urban Bank,21,2.81,
18114,01-09-2021,Banaskantha District Central Co-operative Bank,20645,12092.15,
18115,01-09-2021,Bank of Baroda,247588652,5313008.54,
18116,01-09-2021,Baran Nagrik Sahkari Bank,1569,2093.26,
18117,01-09-2021,Bassein Catholic Co-operative Bank,36516,19692.61,
18118,01-09-2021,Bhagini Nivedita Co-operative Bank,170410,3299.34,
18119,01-09-2021,Bhavana Rishi Co-operative Urban Bank,1650,638.89,
18120,01-09-2021,Bhilwara Urban Co-operative Bank,6829,421.65,
18121,01-09-2021,Balasinor Nagarik Co-operative Bank,622,818.12,
18122,01-09-2021,Balotra Urban Co-operative Bank,6196,5024.48,
18123,01-09-2021,Bandhan Bank,13653145,656640.64,
18124,01-09-2021,Bank of Bahrain and Kuwait B.S.C.,96,10.62,
18125,01-09-2021,Bank of India,17003556,1126435.66,
18126,01-09-2021,Bank of Maharashtra,42172488,654171.39,
18127,01-09-2021,Baroda UP Gramin Bank,220605,16383.72,
18128,01-09-2021,Bhadradri Co-operative Urban Bank,12595,998.15,
18129,01-09-2021,Bharat Co-operative Bank,1550693,94731.1,
18130,01-09-2021,Bhavnagar District Co-operative Bank,3704,941.25,
18131,01-09-2021,C G Rajya Co-operative Bank Mydt,7922,480.41,
18132,01-09-2021,Catholic Syrian Bank,2264755,64470.67,
18133,01-09-2021,Citi Bank,13526901,727785.4,
18134,01-09-2021,Citizens Co-operative Bank Rajkot,6296,6176.74,
18135,01-09-2021,City Union Bank,20684095,594530.66,
18136,01-09-2021,Coastal Local Area Bank,7304,2845.52,
18137,01-09-2021,Colour Merchants Co-operative Bank,180,32.63,
18138,01-09-2021,Canara Bank,171781699,4074843.35,
18139,01-09-2021,Capital Small Finance Bank,264150,36462.65,
18140,01-09-2021,Central Bank of India,80922629,1413542.89,
18141,01-09-2021,Chaitanya Godavari Grameena Bank,1461333,24487.1,
18142,01-09-2021,Chikmagalur District Central Co-operative Bank,233,97.14,
18143,01-09-2021,Citizen Credit Co-operative Bank,22450,1727.61,
18144,01-09-2021,DBS Bank India,11970075,218903.05,
18145,01-09-2021,DCB Bank,997670,103641.28,
18146,01-09-2021,Dhanlaxmi Bank,51049,10173.14,
18147,01-09-2021,Dindigul Central Co-operative Bank,344,13.85,
18148,01-09-2021,Dattatray Maharaj Kalambe Jaoli Bank,14894,2263.86,
18149,01-09-2021,Durgapur Steel Peoples Co-operative Bank,946,72.01,
18150,01-09-2021,Dakshin Bihar Gramin Bank,50011,7104.73,
18151,01-09-2021,Dausa Urban Co-operative Bank,1138,1420.28,
18152,01-09-2021,Deendayal Nagari Co-operative Bank,1638,310.47,
18153,01-09-2021,Deogiri Nagari Co-operative Bank,10404,1925.81,
18154,01-09-2021,Deutsche Bank AG,325361,21846.08,
18155,01-09-2021,Dhanera Mercantile Co-operative Bank,5072,4758.2,
18156,01-09-2021,Doha Bank QPSC,3403,1324.02,
18157,01-09-2021,Dombivli Nagrik Co-operative Bank,1690006,102521.98,
18158,01-09-2021,Equitas Small Finance Bank,239250.92,63.97,
18159,01-09-2021,ESAF Small Finance Bank,112139,21927.84,
18160,01-09-2021,Federal Bank,5951091,790211.55,
18161,01-09-2021,Fincare Small Finance Bank,146622,18799.35,
18162,01-09-2021,Fingrowth Co-operative Bank,9946,5841.72,
18163,01-09-2021,Fino Payments Bank,11013940,64677.45,
18164,01-09-2021,G S Mahanagar Co-operative Bank,652441,16415.26,
18165,01-09-2021,GP Parsik Janata Co-operative Bank,1350914,32605.54,
18166,01-09-2021,Gujarat Ambuja Co-operative Bank,1676,994.78,
18167,01-09-2021,Godavari Urban Co-operative Bank,9,0.17,
18168,01-09-2021,HDFC Bank,331186986,14753580.13,
18169,01-09-2021,Himachal Pradesh Gramin Bank,105725,150215.56,
18170,01-09-2021,HSBC,2868471,141654.74,
18171,01-09-2021,Hutatma Co-operative Bank,1750,397.01,
18172,01-09-2021,Himatnagar Nagrik Co-operative Bank,3114,2485.82,
18173,01-09-2021,ICICI Bank,233245408,13575335.15,
18174,01-09-2021,IDBI Bank,54719786,1518375.49,
18175,01-09-2021,IDFC First Bank,25303074,1352189.41,
18176,01-09-2021,Indian Overseas Bank,78010552,1709484.73,
18177,01-09-2021,Indore Paraspar Co-operative Bank,2834,157.21,
18178,01-09-2021,Indraprastha Sehkari Bank,2258,770.49,
18179,01-09-2021,IndusInd Bank,30797014,1668043,
18180,01-09-2021,India Post Payments Bank,15936410,450169.13,
18181,01-09-2021,Indian Bank,81757242,1624423.28,
18182,01-09-2021,Jammu and Kashmir Grameen Bank,245716,14628.26,
18183,01-09-2021,Jammu and Kashmir State Co-operative Bank,1610,537.77,
18184,01-09-2021,Jalgaon Janata Co-operative Bank,325095,8933.03,
18185,01-09-2021,Janakalyan Co-operative Bank,39627,6658.38,
18186,01-09-2021,Janta Co-operative Bank Pune,1798471,28155.77,
18187,01-09-2021,Jijamata Mahila Co-operative Bank,1243,91.62,
18188,01-09-2021,Jila Co-operative Kendriya Bank Maryadit Khargone,2093,184,
18189,01-09-2021,Jalna Merchants Co-operative Bank,70088,2420.52,
18190,01-09-2021,Jana Small Finance Bank,161023,33547.02,
18191,01-09-2021,Janata Co-operative Bank Ajara,898,152.28,
18192,01-09-2021,Janatha Seva Co-operative Bank,750,134.33,
18193,01-09-2021,Jila Co-operative Kendriya Bank Maryadit Durg,1994,169.62,
18194,01-09-2021,Jio Payments Bank,208635,2975.72,
18195,01-09-2021,Jivan Commercial Co-operative Bank,4896,1667.09,
18196,01-09-2021,Jodhpur Nagrik Co-operative Bank,2088,762.06,
18197,01-09-2021,Jogindra Central Co-operative Bank,1486,406.27,
18198,01-09-2021,Kankaria Maninagar Nagrik Co-operative Bank,5042,1373.4,
18199,01-09-2021,Kanyakumari District Central Co-operative Bank,121,6.97,
18200,01-09-2021,Karur Vysya Bank,22862037,1092862.92,
18201,01-09-2021,Kerala Gramin Bank,86616,8783.7,
18202,01-09-2021,Kolhapur Mahila Co-operative Bank,775,331.84,
18203,01-09-2021,Kota Nagrik Co-operative Bank,166,25.6,
18204,01-09-2021,Kotak Mahindra Bank,140517987,5650130.55,
18205,01-09-2021,Kallappanna Awade Ichalkaranji Janata Co-operative Bank,510651,16947.05,
18206,01-09-2021,Karnataka Bank,2069613,283590.41,
18207,01-09-2021,Karnataka Vikas Grameen Bank,4094825,55533.47,
18208,01-09-2021,Kerala State Co-operative Bank,3178,477.1,
18209,01-09-2021,Kokan Mercantile Co-operative Bank,10334,1411.29,
18210,01-09-2021,Kozhikode District Co-operative Bank,18125,2493.83,
18211,01-09-2021,Krishna Bhima Samruddhi LAB,2648,525.38,
18212,01-09-2021,Lakshmi Vilas Bank,3922511,196228.07,
18213,01-09-2021,Lakhimpur Urban Co-operative Bank,2268,171.9,
18214,01-09-2021,Latur Urban Co-operative Bank Latur,5429,1378.62,
18215,01-09-2021,Loknete Dattaji Patil Co-operative Bank Lasalgaon,550,57.02,
18216,01-09-2021,Lonawala Co-operative Bank Mydt Lonawala,3388,502.66,
18217,01-09-2021,M S Co-operative Bank,5491,603.99,
18218,01-09-2021,Madurai District Central Co-operative Bank,216,8.35,
18219,01-09-2021,Mahalakshmi Co-operative Bank Udupi,222,63.65,
18220,01-09-2021,Mahila Nagrik Co-operative Bank Maryadit Mahasamund,3,0.03,
18221,01-09-2021,Manjeri Co-operative Urban Bank,7221,1544.02,
18222,01-09-2021,Maratha Co-operative Bank Belgaum,1033,180.37,
18223,01-09-2021,Mehsana Urban Co-operative Bank,404333,11.05,
18224,01-09-2021,Mahanagar Nagrik Co-operative Bank Maryadit,248,77.6,
18225,01-09-2021,Maharashtra Gramin Bank,110391,9418.95,
18226,01-09-2021,Mahesh Co-operative Bank Pune,7839,746.75,
18227,01-09-2021,Manipur Rural Bank,59528,617.25,
18228,01-09-2021,Mann Deshi Mahila Co-operative Bank Mhaswad,30527,459,
18229,01-09-2021,Manasing Co-operative Bank,700,82.96,
18230,01-09-2021,Manvi Pattana Souharda Co-operative Bank,2105,600.93,
18231,01-09-2021,Meghalaya Rural Bank,112531,1911.45,
18232,01-09-2021,Model Co-operative Bank,9544,734.87,
18233,01-09-2021,Nagrik Co-operative Bank Maryadit Vidisha,457,70.96,
18234,01-09-2021,Nagrik Co-operative Bank Maryadit Gwalior,666,58.55,
18235,01-09-2021,Nainital Bank,18,0.53,
18236,01-09-2021,Navanagara Urban Co-operative Bank,235,28.14,
18237,01-09-2021,Navi Mumbai Co-operative Bank,5509,793.89,
18238,01-09-2021,Nidhi Co-operative Bank,1818,1111.15,
18239,01-09-2021,NKGSB Co-operative Bank,163430,34650.03,
18240,01-09-2021,NSDL Payments Bank,346946,2139.47,
18241,01-09-2021,Nav Jeevan Co-operative Bank,3308,2155.86,
18242,01-09-2021,Navsarjan Industrial Co-operative Bank,778,175.14,
18243,01-09-2021,New India Co-operative Bank,4966,1425.76,
18244,01-09-2021,North East Small Finance Bank,5034,280.02,
18245,01-09-2021,Nutan Nagarik Co-operative Bank,116872,17705.42,
18246,01-09-2021,Patan Nagrik Co-operative Bank,1277,469.73,
18247,01-09-2021,Pavana Co-operative Bank,5764,656.58,
18248,01-09-2021,Peoples Co-operative Bank Dholka,633,337.7,
18249,01-09-2021,Pragati Co-operative Bank Baroda,4181,3258.02,
18250,01-09-2021,Priyadarshani Nagari Co-operative Bank Jalna,318624,3.26,
18251,01-09-2021,Pusad Urban Co-operative Bank,1796,137.57,
18252,01-09-2021,Pali Urban Co-operative Bank,3695,1660.91,
18253,01-09-2021,Palus Co-operative Bank,5522,1103.61,
18254,01-09-2021,Paytm Payments Bank,203786719,2005528.47,
18255,01-09-2021,Peoples Urban Co-operative Bank,842,107.32,
18256,01-09-2021,Pochampally Co-operative Urban Bank,204306,12499.67,
18257,01-09-2021,Poornawadi Nagrik Co-operative Bank Maryadit Beed,9616,1483.42,
18258,01-09-2021,Prerana Co-operative Bank,2838,273.38,
18259,01-09-2021,Prime Co-operative Bank,101341,27711.36,
18260,01-09-2021,Pune Cantonment Co-operative Bank,51579,950.21,
18261,01-09-2021,Pune Peoples Co-operative Bank,26410,4500,
18262,01-09-2021,Punjab and Sind Bank,70621,7678.15,
18263,01-09-2021,Punjab National Bank,170798020,3436369.99,
18264,01-09-2021,Rajapur Urban Co-operative Bank,628,66.85,
18265,01-09-2021,Rajaram Bapu Co-operative Bank,7825,4034.52,
18266,01-09-2021,Rajgurunagar Co-operative Bank,33997,9757.75,
18267,01-09-2021,Rani Channamma Mahila Co-operative Bank Niyamit Belagavi,15832,474.91,
18268,01-09-2021,RBL Bank,14260495,480730.55,
18269,01-09-2021,Rajasthan Marudhara Gramin Bank,191353,35936.9,
18270,01-09-2021,Rajkot Nagrik Co-operative Bank,295712,15990.67,
18271,01-09-2021,Rajkot Peoples Co-operative Bank,8748,7031.98,
18272,01-09-2021,Ramanathapuram District Central Co-operative Bank,215,8.49,
18273,01-09-2021,Samarth Co-operative Bank Solapur,163329,3602.91,
18274,01-09-2021,Samarth Co-operative Bank Maryadit Jalna,3676,425.44,
18275,01-09-2021,Sampada Co-operative Bank,5357,808.34,
18276,01-09-2021,Samruddhi Co-operative Bank Nagpur,449,44.23,
18277,01-09-2021,Saraspur Nagrik Co-operative Bank,12964,5950.04,
18278,01-09-2021,Sardar Bhiladwala Pardi Peoples Co-operative Bank,10743,3136.47,
18279,01-09-2021,Sardar Singh Nagrik Sahkari Bank Maryadit Tikamgarh,743,337.21,
18280,01-09-2021,Sardarganj Mercantile Co-operative Bank Anand,3980,1737.01,
18281,01-09-2021,Sarvodaya Commercial Co-operative Bank Mehsana,34664,7680.7,
18282,01-09-2021,Sarvodaya Nagrik Co-operative Bank Himatnagar,3250,2298.1,
18283,01-09-2021,SBM Bank India,2837,1360.06,
18284,01-09-2021,Shree Panchganga Nagari Co-operative Bank,2362,624.98,
18285,01-09-2021,Shree Talaja Nagrik Co-operative Bank,39,50.18,
18286,01-09-2021,Shri Anand Nagari Co-operative Bank,232,22.04,
18287,01-09-2021,Shri Mahila Sewa Co-operative Bank,459,29.81,
18288,01-09-2021,Shushruti Souharda Sahakara Bank Niyamita,16,0.57,
18289,01-09-2021,Sivagangai District Central Co-operative Bank,28,0.88,
18290,01-09-2021,South Indian Bank,16237167,635390.72,
18291,01-09-2021,Sri Rama Co-operative Bank,33,1.97,
18292,01-09-2021,Sri Sudha Co-operative Bank,81,12.21,
18293,01-09-2021,State Bank of India,960573577,26491991.61,
18294,01-09-2021,Suco Souharda Co-operative Bank,5579,4736.81,
18295,01-09-2021,Sundarlal Sawji Urban Co-operative Bank Jintur,11631,5695.33,
18296,01-09-2021,SVC Co-operative Bank,2171477,43217.66,
18297,01-09-2021,Sadalga Urban Souharda Co-operative Bank Niyamit,211,10.53,
18298,01-09-2021,Sadhana Co-operative Bank,7185,1129.25,
18299,01-09-2021,Sandur Pattana Sahkari Bank Nymt,8759,412.74,
